bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
82.0,256.0,255.0,1.0,99.609375,0.390625,20976.0,20480.0,496.0,81.65218084682242,99.59839357429719,17.946212727474773,41.29032258064516,496000.0,614400.0,-118400.0
83.0,255.0,255.0,0.0,100.0,0.0,21231.0,20735.0,496.0,82.66884618451479,99.59839357429719,16.9295473897824,41.80443548387097,496000.0,622050.0,-126050.0
84.0,256.0,255.0,1.0,99.609375,0.390625,21487.0,20990.0,497.0,83.68551152220716,99.79919678714859,16.113685264941424,42.23340040241449,497000.0,629700.0,-132700.0
85.0,256.0,256.0,0.0,100.0,0.0,21743.0,21246.0,497.0,84.70616378279244,99.79919678714859,15.093033004356144,42.74849094567404,497000.0,637380.0,-140380.0
86.0,256.0,256.0,0.0,100.0,0.0,21999.0,21502.0,497.0,85.72681604337772,99.79919678714859,14.072380743770864,43.2635814889336,497000.0,645060.0,-148060.0
87.0,256.0,256.0,0.0,100.0,0.0,22255.0,21758.0,497.0,86.747468303963,99.79919678714859,13.051728483185585,43.77867203219316,497000.0,652740.0,-155740.0
88.0,255.0,255.0,0.0,100.0,0.0,22510.0,22013.0,497.0,87.76413364165538,99.79919678714859,12.035063145493211,44.29175050301811,497000.0,660390.0,-163390.0
89.0,256.0,256.0,0.0,100.0,0.0,22766.0,22269.0,497.0,88.78478590224066,99.79919678714859,11.014410884907932,44.80684104627767,497000.0,668070.0,-171070.0
90.0,256.0,256.0,0.0,100.0,0.0,23022.0,22525.0,497.0,89.80543816282594,99.79919678714859,9.993758624322652,45.32193158953722,497000.0,675750.0,-178750.0
91.0,256.0,256.0,0.0,100.0,0.0,23278.0,22781.0,497.0,90.82609042341122,99.79919678714859,8.973106363737372,45.83702213279678,497000.0,683430.0,-186430.0
92.0,256.0,256.0,0.0,100.0,0.0,23534.0,23037.0,497.0,91.8467426839965,99.79919678714859,7.952454103152093,46.352112676056336,497000.0,691110.0,-194110.0
93.0,255.0,254.0,1.0,99.6078431372549,0.39215686274509665,23789.0,23291.0,498.0,92.85942109879595,100.0,7.1405789012040515,46.769076305220885,498000.0,698730.0,-200730.0
94.0,256.0,256.0,0.0,100.0,0.0,24045.0,23547.0,498.0,93.88007335938123,100.0,6.119926640618772,47.28313253012048,498000.0,706410.0,-208410.0
95.0,256.0,256.0,0.0,100.0,0.0,24301.0,23803.0,498.0,94.90072561996651,100.0,5.099274380033492,47.79718875502008,498000.0,714090.0,-216090.0
96.0,256.0,256.0,0.0,100.0,0.0,24557.0,24059.0,498.0,95.92137788055179,100.0,4.078622119448212,48.31124497991968,498000.0,721770.0,-223770.0
97.0,256.0,256.0,0.0,100.0,0.0,24813.0,24315.0,498.0,96.94203014113707,100.0,3.0579698588629327,48.825301204819276,498000.0,729450.0,-231450.0
98.0,255.0,255.0,0.0,100.0,0.0,25068.0,24570.0,498.0,97.95869547882944,100.0,2.0413045211705594,49.33734939759036,498000.0,737100.0,-239100.0
99.0,256.0,256.0,0.0,100.0,0.0,25324.0,24826.0,498.0,98.97934773941472,100.0,1.0206522605852797,49.85140562248996,498000.0,744780.0,-246780.0
100.0,256.0,256.0,0.0,100.0,0.0,25580.0,25082.0,498.0,100.0,100.0,0.0,50.36546184738956,498000.0,752460.0,-254460.0
