bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
52.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,6361.0,6082.0,279.0,50.959363217427736,93.93939393939394,42.9800307219662,21.799283154121863
53.0,122.0,122.0,0.0,100.0,0.0,6483.0,6204.0,279.0,51.9815668202765,93.93939393939394,41.95782711911744,22.236559139784948
54.0,122.0,122.0,0.0,100.0,0.0,6605.0,6326.0,279.0,53.00377042312526,93.93939393939394,40.93562351626868,22.67383512544803
55.0,123.0,123.0,0.0,100.0,0.0,6728.0,6449.0,279.0,54.034352744030166,93.93939393939394,39.90504119536377,23.114695340501793
56.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6850.0,6570.0,280.0,55.04817762882279,94.27609427609427,39.22791664727148,23.464285714285715
57.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6972.0,6691.0,281.0,56.06200251361542,94.61279461279462,38.5507920991792,23.81138790035587
58.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,7095.0,6813.0,282.0,57.08420611646418,94.94949494949495,37.86528883303077,24.159574468085108
59.0,122.0,122.0,0.0,100.0,0.0,7217.0,6935.0,282.0,58.10640971931294,94.94949494949495,36.843085230182005,24.592198581560282
60.0,122.0,122.0,0.0,100.0,0.0,7339.0,7057.0,282.0,59.12861332216171,94.94949494949495,35.820881627333236,25.02482269503546
61.0,123.0,123.0,0.0,100.0,0.0,7462.0,7180.0,282.0,60.15919564306661,94.94949494949495,34.79029930642834,25.46099290780142
62.0,122.0,122.0,0.0,100.0,0.0,7584.0,7302.0,282.0,61.18139924591537,94.94949494949495,33.768095703579576,25.893617021276597
63.0,122.0,122.0,0.0,100.0,0.0,7706.0,7424.0,282.0,62.20360284876414,94.94949494949495,32.745892100730806,26.326241134751772
64.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,7828.0,7544.0,284.0,63.209049015500625,95.62289562289563,32.413846607395,26.56338028169014
65.0,123.0,123.0,0.0,100.0,0.0,7951.0,7667.0,284.0,64.23963133640552,95.62289562289563,31.383264286490103,26.996478873239436
