,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
18,18.0,123.0,123.0,0.0,100.0,0.0,2202.0,1942.0,260.0,16.27147046501885,87.54208754208754,71.27061707706869,7.469230769230769,260.0,9993.0,37.0,1942.0,0.8382112491824723,0.1617887508175278,0.16271470465018853,7.469230769230769,0.8754208754208754,0.8372852953498114,0.11807447774750227,0.20808323329331735
19,19.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,2324.0,2063.0,261.0,17.285295349811477,87.87878787878788,70.5934925289764,7.904214559386973,261.0,9872.0,36.0,2063.0,0.8284009156311315,0.17159908436886853,0.17285295349811478,7.904214559386973,0.8787878787878788,0.8271470465018852,0.11230636833046471,0.19916062571537582
20,20.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,2446.0,2184.0,262.0,18.299120234604107,88.21548821548822,69.91636798088412,8.335877862595419,262.0,9751.0,35.0,2184.0,0.8185905820797907,0.1814094179202093,0.18299120234604105,8.335877862595419,0.8821548821548821,0.817008797653959,0.107113654946852,0.19103171709806782
21,21.0,123.0,123.0,0.0,100.0,0.0,2569.0,2307.0,262.0,19.32970255550901,88.21548821548822,68.8857856599792,8.805343511450381,262.0,9628.0,35.0,2307.0,0.8085349901896665,0.19146500981033354,0.19329702555509007,8.805343511450381,0.8821548821548821,0.8067029744449099,0.10198520825223822,0.1828332170272156
22,22.0,122.0,122.0,0.0,100.0,0.0,2691.0,2429.0,262.0,20.35190615835777,88.21548821548822,67.86358205713046,9.270992366412214,262.0,9506.0,35.0,2429.0,0.7985611510791367,0.2014388489208633,0.20351906158357772,9.270992366412214,0.8821548821548821,0.7964809384164223,0.09736157562244518,0.1753681392235609
23,23.0,122.0,122.0,0.0,100.0,0.0,2813.0,2551.0,262.0,21.374109761206537,88.21548821548822,66.84137845428168,9.736641221374045,262.0,9384.0,35.0,2551.0,0.788587311968607,0.21141268803139307,0.21374109761206536,9.736641221374045,0.8821548821548821,0.7862589023879346,0.0931389975115535,0.16848874598070737
24,24.0,123.0,123.0,0.0,100.0,0.0,2936.0,2674.0,262.0,22.40469208211144,88.21548821548822,65.81079613337678,10.206106870229007,262.0,9261.0,35.0,2674.0,0.7785317200784827,0.22146827992151732,0.22404692082111438,10.206106870229007,0.8821548821548821,0.7759530791788857,0.08923705722070845,0.1620785648004949
25,25.0,122.0,122.0,0.0,100.0,0.0,3058.0,2796.0,262.0,23.4268956849602,88.21548821548822,64.78859253052802,10.67175572519084,262.0,9139.0,35.0,2796.0,0.7685578809679529,0.2314421190320471,0.234268956849602,10.67175572519084,0.8821548821548821,0.765731043150398,0.08567691301504252,0.15618479880774963
26,26.0,122.0,122.0,0.0,100.0,0.0,3180.0,2918.0,262.0,24.449099287808966,88.21548821548822,63.76638892767926,11.13740458015267,262.0,9017.0,35.0,2918.0,0.7585840418574231,0.24141595814257685,0.24449099287808965,11.13740458015267,0.8821548821548821,0.7555090071219104,0.08238993710691823,0.15070463042853033
27,27.0,123.0,120.0,3.0,97.5609756097561,2.439024390243901,3303.0,3038.0,265.0,25.454545454545453,89.22558922558923,63.77104377104378,11.464150943396227,265.0,8897.0,32.0,3038.0,0.7490189666448659,0.25098103335513405,0.2545454545454545,11.464150943396227,0.8922558922558923,0.7454545454545455,0.08023009385407205,0.14722222222222223
